,A,B,C1,C2,SSE,m,qual,t1,t2,tc,w
0,9.040024436441087,-0.14257466065432958,-0.0005699543903641357,0.007080296170557851,0.01987006235417349,-404.1335237049404,0,701,730,434.6927377583209,-305.8365434812368
1,9.058583004663102,-0.14631971576884512,0.003660525401542799,-0.002096205013688882,0.025443820851524628,-370.6010013961182,0,672,730,1011.1651298223045,-378.3780229931478
2,8.879232376407797,-0.006184688824394653,-0.0007826187256186087,-0.00017281202336168073,0.0018094407453164085,-433.65718919841385,0,644,730,730.9965416049696,438.9809415203271
3,8.881118134290896,-0.0007838658328433196,5.472247229530666e-05,-3.829205615427394e-05,0.44200499741660126,1.9644565087938983,0,616,730,671.8706429470295,356.14075576148616
4,8.878506673516664,-0.0007868436251438164,-4.596607805593499e-06,-4.903064825686003e-05,0.34243280504939555,1.8199132210313038,0,585,730,660.9599630465468,368.4923734723152
5,8.865702221682907,-0.002130584821572528,0.00033234442019360505,-0.00013419023987298802,0.0033359299967188967,-419.791251070895,0,557,730,1094.2860818811725,-396.7899230893105
6,8.918682876882679,-0.009381847423743565,2.752966775818004e-05,-0.0005566095076202222,0.009950245922657306,-358.41092059782477,0,528,730,1059.77817606167,241.54115090499178
7,8.958171847311043,-0.020230494153588487,0.0009810587013029499,-0.0004643810351357453,0.00787426120829173,0.4999013977033627,0,499,730,432.5018542938066,296.1959179758731
8,8.941526969836783,-0.01900899334201538,-0.0007177824946934727,-0.0006475966901121054,0.01581774924363423,-405.00389029762744,0,471,730,731.2675092509638,405.5255491642665
9,8.86006303663919,-0.0006815518198045195,9.077436813677614e-05,-4.273815324588227e-05,0.16087387153458266,1.5381661190907638,0,442,730,586.6501638235056,5.1488183041995095
10,9.142841105212563,-0.06283408798586153,-0.0005781379743953498,-0.0013676082408872025,0.012810095199387389,0.40728756197141947,0,414,730,518.7583673456991,288.41922959353184
11,8.966242065464288,-0.011019653736490394,-0.00018838259703987963,0.0004589543450002869,0.010292983695598739,0.7170192248580296,0,385,730,548.4325688250808,301.5169082636471
12,8.857302802884265,-0.0011740795658304395,5.514021224066803e-05,8.220684729504259e-05,0.009905369690430663,-360.1579006490157,0,352,730,925.6471810828975,-312.9329895846335
13,8.860555127904213,-0.0012122747641655027,0.00011197742798700676,-4.0353384380847645e-05,0.025669402713085845,1.180412302671574,0,323,730,538.2649471456963,4.846961872180007
14,8.870599341227503,-0.0006376751387954924,5.4931068361413216e-05,2.6364285828620118e-05,0.015908399810296833,-407.11914085099386,0,295,730,731.9840418271446,-370.60418332988297
15,8.932317969710255,-0.0012699125280731065,-6.784592164326568e-05,-4.5535890341788174e-05,0.02995402174474495,-148.0351891412423,0,267,730,1054.04692523242,-124.34503312503175
16,8.943699104876208,-0.0026687033652211018,-0.00018417704889750643,-2.9263289874453072e-05,0.0011590431773903943,0.6959956702113204,0,238,730,1075.4515624699175,6.66467610609252
17,8.976819502057182,-0.0012857607978236979,-6.743009477199827e-06,7.49296771612162e-05,0.04613240043548589,-356.71151117468133,0,210,730,741.2454293127252,311.69012400743117
18,8.847328507977242,-0.0006268839367237268,-3.815425804643347e-05,-2.1675695530971086e-05,0.8718262849908086,-14.914643369230706,0,179,730,724.4999969485721,12.835383233479089
19,8.848654313308193,-0.000626797168466492,-3.505065820949062e-05,-2.1449887675291393e-05,0.021550639605289686,-394.87270585187036,0,151,730,726.5240405905782,-348.8075444834067
20,8.848493223058169,-0.0006186895852104741,-2.5525891236959372e-05,-2.098710496803561e-05,0.07051552002636133,1.2876643869463895,0,122,730,447.2586116854467,17.416357652533065
21,8.906174937672384,-0.0012927611261958976,5.2827824336181815e-05,-2.3408752009399915e-05,0.03856069621472363,-363.5747946498051,0,94,730,773.3797754022669,-323.5566863198289
22,8.932409851626044,-0.0013137763368339915,-6.473420821743792e-06,-5.22301837486719e-05,0.0012640730789973882,0.828544340659945,0,65,730,1051.8691566249986,388.2949443440782
23,8.851297398267736,-0.0006109268150296793,-6.604182839420342e-06,-3.337364836494434e-05,0.060161055656389434,1.2542818523408623,0,36,730,429.74556500941947,325.43450281257674
24,8.850854187725144,-0.000603573003784272,-2.914750666457093e-06,-2.6525791569935736e-05,0.033287526549230693,-382.7546588023675,0,7,730,730.9977085084884,415.5016547589678
25,8.93068484703752,-0.010454631280286938,0.0005507892169489296,-0.001004232482329213,0.3017248178289722,1.8916176966249434,0,731,759,745.6656042653541,302.87004729018435
26,8.926809132763053,-0.007860257707080147,0.00029806124304393114,0.0007981065106886189,0.0021736672648503957,-438.09774146318284,0,701,759,755.0022220879262,463.88987217757057
27,8.91697304816807,-0.001636223679851799,-0.0005346165246704712,6.493638628510891e-06,0.6211722618328039,2.0226619262656182,0,672,759,715.5182773567657,2.619245862153757
28,8.963364095528805,-0.03448219189353938,-0.0013829637517127147,-0.0006120809549924509,0.00819896753642899,-283.8653761587989,0,644,759,376.68838555678,374.77809663266754
29,8.926452304019575,-0.006976634044403076,-0.0010085465672850394,0.00024694678135890315,0.005801978817780927,-413.87112173244145,0,616,759,1122.386929970876,-353.9648121485542
30,9.787975283265823,-0.5689920858046698,-0.004552626978009524,-0.0015191183477728405,0.004628235045620851,0.13248177768556932,0,585,759,739.077522074809,396.74984598650957
31,9.678936221369538,-0.5067968280624121,-0.00506118935706998,0.002872277897406489,0.0024559997323978016,0.12889755557442825,0,557,759,740.7132353848314,-367.8411966381485
32,8.96096925854736,-0.020689582057691853,0.000735225467881757,-0.0006531292148725944,0.014784062529414032,-311.40183315271094,0,528,759,1060.307709319279,228.76619858963255
